epoch,compute_iou,dice_coefficient,loss,lr,precision,recall,val_compute_iou,val_dice_coefficient,val_loss,val_precision,val_recall
0,0.2798393666744232,0.43593719601631165,0.5640628337860107,1e-05,0.34958648681640625,0.9704560041427612,0.19148726761341095,0.3195136785507202,0.6642302870750427,0.3567233681678772,0.741817831993103
1,0.3655560612678528,0.5342811942100525,0.4657187759876251,1e-05,0.4494948983192444,0.9547369480133057,0.20027859508991241,0.33203285932540894,0.6553497314453125,0.3294142782688141,0.9518789649009705
2,0.42705613374710083,0.5974359512329102,0.40256398916244507,1e-05,0.5105964541435242,0.9521999359130859,0.20918740332126617,0.34523025155067444,0.6411325931549072,0.3079497516155243,0.9749047756195068
3,0.4791627824306488,0.6466012001037598,0.35339874029159546,1e-05,0.5721138715744019,0.9452483654022217,0.20819568634033203,0.34327051043510437,0.6375443935394287,0.32114729285240173,0.9596320986747742
4,0.5542384386062622,0.7118669748306274,0.288132905960083,1e-05,0.7106850743293762,0.9657196402549744,0.21814772486686707,0.3572925627231598,0.6492552161216736,0.3470275402069092,0.7130128741264343
5,0.6239598989486694,0.7672869563102722,0.23271307349205017,1e-05,0.844974935054779,0.9737923741340637,0.19377018511295319,0.3243997395038605,0.6699736714363098,0.27008068561553955,0.09041298925876617
6,0.6676420569419861,0.7999815940856934,0.200018510222435,1e-05,0.8846474289894104,0.9741907119750977,0.18101851642131805,0.30648380517959595,0.6959222555160522,0.011726384051144123,0.00018833618378266692
7,0.6957560181617737,0.8198785185813904,0.18012146651744843,1e-05,0.9103436470031738,0.9737871289253235,0.1591356247663498,0.27431491017341614,0.7281296253204346,0.002656748052686453,5.812844847241649e-06
8,0.7230359315872192,0.8388417959213257,0.1611582487821579,1e-05,0.9399917721748352,0.9761287569999695,0.13898788392543793,0.24376899003982544,0.7589163184165955,0.0,0.0
9,0.7317126989364624,0.8445660471916199,0.15543396770954132,1e-06,0.9470990300178528,0.9788585305213928,0.10938316583633423,0.19598685204982758,0.7851651906967163,0.0,0.0
10,0.7367420196533203,0.8477531671524048,0.15224698185920715,1e-06,0.952488899230957,0.9791485071182251,0.11391865462064743,0.20426222681999207,0.804420530796051,0.0,0.0
